character_id,character_name,character_status,character_species,episode_name,episode_code,episode_air_date,dimension
2,Morty Smith,Alive,Human,Ricksy Business,S01E11,"April 14, 2014",Unknown
2,Morty Smith,Alive,Human,A Rickle in Time,S02E01,"July 26, 2015",Unknown
2,Morty Smith,Alive,Human,Mortynight Run,S02E02,"August 2, 2015",Unknown
2,Morty Smith,Alive,Human,Auto Erotic Assimilation,S02E03,"August 9, 2015",Unknown
2,Morty Smith,Alive,Human,Total Rickall,S02E04,"August 16, 2015",Unknown
2,Morty Smith,Alive,Human,Get Schwifty,S02E05,"August 23, 2015",Unknown
2,Morty Smith,Alive,Human,The Ricks Must Be Crazy,S02E06,"August 30, 2015",Unknown
2,Morty Smith,Alive,Human,Big Trouble in Little Sanchez,S02E07,"September 13, 2015",Unknown
2,Morty Smith,Alive,Human,Interdimensional Cable 2: Tempting Fate,S02E08,"September 20, 2015",Unknown
2,Morty Smith,Alive,Human,Look Who's Purging Now,S02E09,"September 27, 2015",Unknown
2,Morty Smith,Alive,Human,The Wedding Squanchers,S02E10,"October 4, 2015",Unknown
2,Morty Smith,Alive,Human,The Rickshank Rickdemption,S03E01,"April 1, 2017",Unknown
2,Morty Smith,Alive,Human,Rickmancing the Stone,S03E02,"July 30, 2017",Unknown
2,Morty Smith,Alive,Human,Pickle Rick,S03E03,"August 6, 2017",Unknown
2,Morty Smith,Alive,Human,Vindicators 3: The Return of Worldender,S03E04,"August 13, 2017",Unknown
2,Morty Smith,Alive,Human,The Whirly Dirly Conspiracy,S03E05,"August 20, 2017",Unknown
2,Morty Smith,Alive,Human,Rest and Ricklaxation,S03E06,"August 27, 2017",Unknown
2,Morty Smith,Alive,Human,The Ricklantis Mixup,S03E07,"September 10, 2017",Unknown
2,Morty Smith,Alive,Human,Morty's Mind Blowers,S03E08,"September 17, 2017",Unknown
2,Morty Smith,Alive,Human,The ABC's of Beth,S03E09,"September 24, 2017",Unknown
2,Morty Smith,Alive,Human,The Rickchurian Mortydate,S03E10,"October 1, 2017",Unknown
2,Morty Smith,Alive,Human,"Edge of Tomorty: Rick, Die, Rickpeat",S04E01,"November 10, 2019",Unknown
2,Morty Smith,Alive,Human,The Old Man and the Seat,S04E02,"November 17, 2019",Unknown
2,Morty Smith,Alive,Human,One Crew Over the Crewcoo's Morty,S04E03,"November 24, 2019",Unknown
2,Morty Smith,Alive,Human,Claw and Hoarder: Special Ricktim's Morty,S04E04,"December 8, 2019",Unknown
2,Morty Smith,Alive,Human,Rattlestar Ricklactica,S04E05,"December 15, 2019",Unknown
2,Morty Smith,Alive,Human,Never Ricking Morty,S04E06,"May 3, 2020",Unknown
2,Morty Smith,Alive,Human,Promortyus,S04E07,"May 10, 2020",Unknown
2,Morty Smith,Alive,Human,The Vat of Acid Episode,S04E08,"May 17, 2020",Unknown
2,Morty Smith,Alive,Human,Childrick of Mort,S04E09,"May 24, 2020",Unknown
2,Morty Smith,Alive,Human,Star Mort: Rickturn of the Jerri,S04E10,"May 31, 2020",Unknown
